mean_game_time,votes_helpful
33975,596.0
74325,591.0
31688,588.0
469,587.0
60778,581.0
2513,575.0
4398,573.0
18449,571.0
51792,569.0
1786,564.0
1762,563.0
3494,553.0
2557,552.0
19045,551.0
2237,550.0
4594,549.0
17947,545.0
8636,544.0
4129,542.0
1634,541.0
2132,539.0
5425,534.0
6411,529.0
774,527.0
4365,526.0
75898,525.0
2818,523.0
3162,519.0
38221,518.0
664,516.0
516,514.0
2251,513.0
18629,512.0
12192,511.0
12462,509.0
113,508.0
23081,507.0
5576,506.0
23260,504.0
1693,502.0
4959,501.0
5307,500.0
12867,498.0
2255,496.0
9757,495.0
3483,494.0
343,491.0
1152,489.0
13331,482.0
25,481.0
293,476.0
6252,475.0
1399,474.0
5935,472.0
43697,469.0
52,466.0
13015,464.0
13682,462.0
17579,461.0
3636,459.0
4624,456.0
5292,455.0
6864,454.0
3331,453.0
551,452.0
2856,451.0
1514,450.0
9566,449.0
4749,445.0
21326,444.0
3278,443.0
6821,442.0
1317,440.0
3981,439.0
200,438.0
35370,437.0
584,435.0
220,431.0
31553,430.0
11323,428.0
7374,427.0
20111,426.0
3127,425.0
11397,424.0
13036,423.0
243,422.0
4502,420.0
16,416.0
1225,414.0
4344,412.0
1866,411.0
967,407.0
18242,406.0
2671,405.0
1484,398.0
8080,397.0
278,395.0
14314,393.0
41845,392.0
15349,391.0
1351,390.0
4562,388.0
36887,386.0
1279,385.0
5633,382.0
556,381.0
379424,380.0
380,378.0
4486,377.0
25849,374.0
3077,372.0
1483,370.0
1936,369.0
14643,368.0
750,367.0
15972,366.0
3629,363.0
4388,361.0
55238,360.0
1293,359.0
4886,358.0
2936,357.0
15054,355.0
1250,354.0
35041,353.0
560,352.0
1270,349.0
2803,348.0
6551,347.0
888,346.0
1373,345.0
35300,344.0
7773,342.0
144143,341.0
7836,340.0
2116,338.0
797,337.0
16349,336.0
904,334.0
233631,333.0
542,332.0
1628,331.0
5099,330.0
4338,328.0
3732,327.0
698,324.0
3218,323.0
7473,322.0
156,321.0
2405,319.0
1892,318.0
6972,317.0
47,315.0
1124,314.0
23022,313.0
18853,311.0
46313,310.0
1039,309.0
5312,308.0
3770,307.0
1225,306.0
682,305.0
1715,304.0
1629,303.0
977,302.0
1234,301.0
880,300.0
8936,299.0
9215,298.0
440,297.0
33098,296.0
27242,295.0
14340,293.0
6399,292.0
13605,291.0
3259,290.0
10307,289.0
5194,288.0
11653,286.0
5221,285.0
2974,284.0
66047,282.0
3729,280.0
13407,279.0
1329,278.0
4526,277.0
29149,275.0
5781,274.0
1250,273.0
60,272.0
3978,271.0
2073,269.0
6712,268.0
969,267.0
3050,266.0
7531,265.0
10000,264.0
1221,263.0
8709,262.0
13965,261.0
43557,260.0
5240,259.0
1044,258.0
700,257.0
9222,256.0
2918,255.0
3087,254.0
4214,253.0
70091,252.0
25368,251.0
4855,250.0
1586,249.0
4970,248.0
5593,247.0
4127,246.0
4086,245.0
21075,244.0
1976,243.0
574,242.0
10157,241.0
3076,240.0
19890,239.0
14305,238.0
1982,236.0
15238,235.0
9775,234.0
1007,233.0
534,232.0
243,231.0
87186,230.0
7088,229.0
5742,228.0
7983,227.0
796,226.0
40051,224.0
10123,223.0
3774,222.0
3934,221.0
4900,220.0
15812,219.0
4196,217.0
